City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
91,Hobyo,SO,11/4/2019 8:03,5.35,48.53,88.68,53,100,13.62,light rain,0.81,0
92,Taoudenni,ML,11/4/2019 8:03,22.68,-3.98,81.9,23,0,6.98,clear sky,0,0
93,Luanda,AO,11/4/2019 8:03,-8.83,13.24,82.4,69,40,4.94,scattered clouds,0,0
94,Saskylakh,RU,11/4/2019 8:03,71.97,114.09,-17.78,96,81,8.99,broken clouds,0,0
95,Nassau,AT,11/4/2019 8:03,46.81,15.34,52,93,75,3.36,light rain,0,0
96,Shangqiu,CN,11/4/2019 8:03,34.42,115.65,66.99,53,0,3.6,clear sky,0,0
97,Lazaro Cardenas,MX,11/4/2019 8:03,28.39,-105.62,55.99,82,84,1.99,broken clouds,0,0
98,Ustye,RU,11/4/2019 8:03,58.76,27.79,38.07,92,100,10.13,light rain,1.19,0
99,Sola,TZ,11/4/2019 8:03,-3.17,33.8,82.65,30,60,5.86,broken clouds,0,0
100,Mezen,RU,11/4/2019 8:03,65.85,44.24,29.75,92,61,16.51,broken clouds,0,0
101,Hofn,IS,11/4/2019 8:03,64.25,-15.21,37.15,72,100,21.79,overcast clouds,0,0
102,Lopsmarka,NO,11/4/2019 8:03,67.31,14.45,35.6,93,75,13.87,shower rain,0,0
103,Esperance,AU,11/4/2019 8:03,-33.86,121.89,71.6,53,0,16.11,clear sky,0,0
104,Iqaluit,CA,11/4/2019 8:03,63.75,-68.52,23,67,40,3.36,scattered clouds,0,0
105,Torbay,CA,11/4/2019 8:03,47.66,-52.73,45,87,40,18.34,scattered clouds,0,0
106,Luoyang,CN,11/4/2019 8:03,34.66,112.42,66.47,44,0,1.3,clear sky,0,0
107,Luino,IT,11/4/2019 8:03,46,8.74,55.99,100,0,1.12,clear sky,0,0
108,Morki,RU,11/4/2019 8:03,56.43,49,33.66,84,100,14.29,light rain,0.13,0
109,Paamiut,GL,11/4/2019 8:03,61.99,-49.67,32.47,49,100,8.77,overcast clouds,0,0
110,Miami Beach,US,11/4/2019 8:03,45.45,-84.56,37.99,100,90,4.7,overcast clouds,0,0
111,Chernaya Kholunitsa,RU,11/4/2019 8:03,58.85,51.72,31.89,91,100,12.39,overcast clouds,0,0
112,Goderich,CA,11/4/2019 8:00,43.74,-81.71,48,85,100,16.84,light rain,0.69,0
